날짜,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,요일
2016-01-28,X,구름 많음,290,46.0,34,9,0,1146,2016,1,28,목
2016-01-29,X,흐림,663,50.0,361,46,571,1777,2016,1,29,금
2016-01-30,O,구름 조금,2266,146.0,243,72,0,4128,2016,1,30,토
2016-01-31,O,구름 조금,1304,57.0,149,28,0,2584,2016,1,31,일
2016-02-01,X,맑음,188,3033.0,17,18,3000,3746,2016,2,1,월
2016-02-02,X,맑음,166,2023.0,10,8,2000,2927,2016,2,2,화
2016-02-03,X,구름 조금,264,23.0,9,32,0,1130,2016,2,3,수
2016-02-04,X,구름 조금,319,31.0,21,28,0,1120,2016,2,4,목
2016-02-05,X,구름 조금,234,41.0,29,14,0,840,2016,2,5,금
2016-02-06,O,맑음,924,53.0,105,40,0,2058,2016,2,6,토
2016-02-07,O,맑음,1251,74.0,127,191,0,2128,2016,2,7,일
2016-02-08,O,구름 많음,2286,123.0,245,429,0,3221,2016,2,8,월
2016-02-09,O,맑음,4610,223.0,620,209,0,7060,2016,2,9,화
2016-02-10,O,맑음,6037,251.0,792,141,0,9949,2016,2,10,수
2016-02-11,X,구름 많음,1545,113.0,419,98,671,3098,2016,2,11,목
2016-02-12,X,눈/비,74,17.0,6,0,0,357,2016,2,12,금
2016-02-13,O,흐림,1401,41.0,167,54,45,2742,2016,2,13,토
2016-02-14,O,흐림,862,83.0,108,63,0,2042,2016,2,14,일
2016-02-15,X,맑음,194,463.0,29,39,0,696,2016,2,15,월
2016-02-16,X,구름 많음,178,25.0,32,40,0,994,2016,2,16,화
2016-02-17,X,맑음,440,93.0,46,21,0,1429,2016,2,17,수
2016-02-18,X,구름 많음,529,83.0,86,68,0,1622,2016,2,18,목
2016-02-19,X,구름 많음,555,98.0,84,26,0,1630,2016,2,19,금
2016-02-20,O,구름 조금,3926,193.0,599,45,73,6626,2016,2,20,토
2016-02-21,O,맑음,2911,157.0,439,89,0,5102,2016,2,21,일
2016-02-22,X,흐림,522,74.0,97,8,0,1398,2016,2,22,월
2016-02-23,X,구름 많음,559,106.0,150,32,65,1726,2016,2,23,화
2016-02-24,X,맑음,371,82.0,89,19,33,1333,2016,2,24,수
2016-02-25,X,구름 조금,524,80.0,119,15,0,1538,2016,2,25,목
2016-02-26,X,구름 조금,992,194.0,189,19,69,2519,2016,2,26,금
2016-02-27,O,구름 많음,3990,197.0,611,0,175,6519,2016,2,27,토
2016-02-28,O,구름 많음,2748,153.0,465,51,0,4970,2016,2,28,일
2016-02-29,X,구름 조금,476,92.0,106,27,0,1233,2016,2,29,월
2016-03-01,O,맑음,2450,198.0,289,31,104,4507,2016,3,1,화
2016-03-02,X,구름 조금,878,21.0,272,8,605,2146,2016,3,2,수
2016-03-03,X,흐림,721,2.0,10,20,0,1783,2016,3,3,목
2016-03-04,X,흐림,1572,16.0,41,2,63,2783,2016,3,4,금
2016-03-05,O,흐림,495,12.0,61,10,0,1405,2016,3,5,토
2016-03-06,O,구름 많음,7669,219.0,909,108,0,11564,2016,3,6,일
2016-03-07,X,구름 많음,683,5.0,17,21,0,1480,2016,3,7,월
2016-03-08,X,463,465,10007.0,8,8,10000,11521,2016,3,8,화
2016-03-09,X,463,384,2.0,7,41,0,1255,2016,3,9,수
2016-03-10,X,463,283,0.0,11,14,30,1184,2016,3,10,목
2016-03-11,X,463,975,12.0,582,21,1209,2305,2016,3,11,금
2016-03-12,O,흐림,4427,171.0,653,55,86,7460,2016,3,12,토
2016-03-13,O,흐림,3897,125.0,535,87,100,6352,2016,3,13,일
2016-03-14,X,구름 많음,1175,10.0,30,57,0,2385,2016,3,14,월
2016-03-15,X,맑음,1205,10.0,23,53,41,2541,2016,3,15,화
2016-03-16,X,구름 조금,1465,7.0,41,40,0,2697,2016,3,16,수
2016-03-17,X,구름 조금,1270,37.0,35,36,62,2529,2016,3,17,목
2016-03-18,X,흐림,1663,13.0,48,29,0,2836,2016,3,18,금
2016-03-19,O,구름 조금,22735,422.0,2990,112,178,33131,2016,3,19,토
2016-03-20,O,구름 조금,22947,535.0,3370,176,0,34360,2016,3,20,일
2016-03-21,X,맑음,2223,14.0,70,58,0,3537,2016,3,21,월
2016-03-22,X,구름 조금,1755,20.0,41,74,53,3338,2016,3,22,화
2016-03-23,X,구름 조금,1365,58.0,69,22,57,2787,2016,3,23,수
2016-03-24,X,맑음,1223,37.0,61,50,63,2438,2016,3,24,목
2016-03-25,X,구름 조금,1705,79.0,85,65,38,3291,2016,3,25,금
2016-03-26,O,맑음,14114,408.0,2094,192,62,21748,2016,3,26,토
2016-03-27,O,맑음,20041,487.0,2860,205,60,30489,2016,3,27,일
2016-03-28,X,맑음,2477,85.0,86,97,131,4136,2016,3,28,월
2016-03-29,X,구름 많음,1013,29.0,91,47,62,2248,2016,3,29,화
2016-03-30,X,구름 많음,2135,1195.0,341,70,1834,4857,2016,3,30,수
2016-03-31,X,구름 많음,2494,406.0,152,100,393,4758,2016,3,31,목
2016-04-01,X,맑음,4131,1210.0,274,47,1158,7537,2016,4,1,금
2016-04-02,O,구름 조금,26605,561.0,3643,169,201,37787,2016,4,2,토
2016-04-03,O,흐림,6498,347.0,959,141,785,9952,2016,4,3,일
2016-04-04,X,구름 조금,4219,52.0,188,59,105,6813,2016,4,4,월
2016-04-05,X,맑음,4278,75.0,116,79,343,7452,2016,4,5,화
2016-04-06,X,구름 조금,4467,1202.0,252,50,1928,9032,2016,4,6,수
2016-04-07,X,눈/비,2638,117.0,69,72,379,5013,2016,4,7,목
2016-04-08,X,구름 조금,5984,1187.0,232,94,1730,11370,2016,4,8,금
2016-04-09,O,구름 많음,20664,825.0,2840,226,214,32879,2016,4,9,토
2016-04-10,O,구름 많음,22441,936.0,3192,446,176,33139,2016,4,10,일
2016-04-11,X,맑음,5223,2145.0,424,97,2583,11313,2016,4,11,월
2016-04-12,X,구름 많음,4595,2101.0,289,89,3684,12028,2016,4,12,화
2016-04-13,O,눈/비,17011,708.0,2795,172,97,26405,2016,4,13,수
2016-04-14,X,구름 많음,2683,778.0,444,125,1814,7079,2016,4,14,목
2016-04-15,X,맑음,4904,2614.0,2028,115,6692,14228,2016,4,15,금
2016-04-16,O,구름 많음,8454,268.0,1331,162,549,14154,2016,4,16,토
2016-04-17,O,구름 많음,9618,278.0,1335,160,90,14205,2016,4,17,일
2016-04-18,X,구름 조금,2591,17.0,387,64,660,5862,2016,4,18,월
2016-04-19,X,구름 조금,2721,5064.0,1087,26,6926,12051,2016,4,19,화
2016-04-20,X,463,1890,10.0,567,76,1854,6493,2016,4,20,수
2016-04-21,X,463,966,57.0,1155,19,1482,3489,2016,4,21,목
2016-04-22,X,463,2971,208.0,1158,23,4091,9794,2016,4,22,금
2016-04-23,O,463,8874,155.0,1383,220,996,14361,2016,4,23,토
2016-04-24,O,463,13281,217.0,2019,516,748,19642,2016,4,24,일
2016-04-25,X,맑음,2564,10248.0,3649,75,15073,19979,2016,4,25,월
2016-04-26,X,463,2805,2217.0,1849,61,5832,11099,2016,4,26,화
2016-04-27,X,구름 많음,3451,261.0,1233,56,4548,9335,2016,4,27,수
2016-04-28,X,463,2821,421.0,1119,67,5376,11151,2016,4,28,목
2016-04-29,X,463,4320,3724.0,1321,53,7273,15084,2016,4,29,금
2016-04-30,O,463,13675,431.0,2050,343,1585,21736,2016,4,30,토
2016-05-01,O,구름 조금,21986,570.0,3074,399,367,31290,2016,5,1,일
2016-05-02,X,구름 많음,2712,57.0,3538,50,3626,7756,2016,5,2,월
2016-05-03,X,463,76,321.0,3,2,315,754,2016,5,3,화
2016-05-04,X,463,2649,4659.0,395,139,5942,11015,2016,5,4,수
2016-05-05,O,463,38511,1708.0,0,476,35,58688,2016,5,5,목
2016-05-06,O,눈/비,4764,416.0,1031,61,0,8162,2016,5,6,금
2016-05-07,O,463,16823,1083.0,2843,303,221,26612,2016,5,7,토
2016-05-08,O,구름 조금,13315,571.0,1652,409,97,19719,2016,5,8,일
2016-05-09,X,구름 많음,2403,1823.0,418,24,2296,6883,2016,5,9,월
2016-05-10,X,463,330,781.0,345,3,1365,2258,2016,5,10,화
2016-05-11,X,463,2654,813.0,375,61,2647,7812,2016,5,11,수
2016-05-12,X,463,5174,3651.0,2630,91,11190,17015,2016,5,12,목
2016-05-13,X,463,3870,6565.0,1184,87,10016,17536,2016,5,13,금
2016-05-14,O,구름 조금,23106,743.0,3225,262,415,33879,2016,5,14,토
2016-05-15,O,구름 많음,8826,364.0,1338,212,231,14485,2016,5,15,일
2016-05-16,X,463,2451,30.0,340,72,1026,5422,2016,5,16,월
2016-05-17,X,맑음,3392,23.0,671,120,2199,8423,2016,5,17,화
2016-05-18,X,463,2629,119.0,625,68,2343,7567,2016,5,18,수
2016-05-19,X,맑음,2497,2063.0,515,30,5026,10067,2016,5,19,목
2016-05-20,X,맑음,2909,13147.0,1653,103,17416,23976,2016,5,20,금
2016-05-21,O,463,15551,513.0,2505,312,5595,24125,2016,5,21,토
2016-05-22,O,463,12990,436.0,1376,390,308,19183,2016,5,22,일
2016-05-23,X,463,2764,193.0,83,36,824,5807,2016,5,23,월
2016-05-24,X,463,744,2631.0,91,63,2984,4843,2016,5,24,화
2016-05-25,X,구름 많음,3069,210.0,432,92,2491,8512,2016,5,25,수
2016-05-26,X,구름 많음,2620,3099.0,115,69,5220,11009,2016,5,26,목
2016-05-27,X,463,4919,3098.0,377,145,5554,13374,2016,5,27,금
2016-05-28,O,463,19064,646.0,2164,388,1819,30005,2016,5,28,토
2016-05-29,O,흐림,20954,776.0,2055,918,465,30541,2016,5,29,일
2016-05-30,X,463,3846,41.0,178,228,389,6632,2016,5,30,월
2016-05-31,X,463,3920,443.0,280,188,1790,8769,2016,5,31,화
2016-06-01,X,463,3592,191.0,163,170,1093,7759,2016,6,1,수
2016-06-02,X,463,4872,697.0,1528,77,4663,11292,2016,6,2,목
2016-06-03,X,구름 조금,4168,4882.0,186,163,5631,12877,2016,6,3,금
2016-06-04,O,463,23308,727.0,2755,397,389,33802,2016,6,4,토
2016-06-05,O,구름 조금,28943,1079.0,3482,729,190,41743,2016,6,5,일
2016-06-06,O,463,26358,1423.0,3249,498,392,39271,2016,6,6,월
2016-06-07,X,흐림,3086,424.0,606,178,1378,7333,2016,6,7,화
2016-06-08,X,구름 많음,2743,40.0,85,96,1023,6171,2016,6,8,수
2016-06-09,X,구름 조금,2231,286.0,52,57,993,5514,2016,6,9,목
2016-06-10,X,463,2451,1705.0,653,161,3476,8010,2016,6,10,금
2016-06-11,O,463,10669,288.0,1149,285,996,15784,2016,6,11,토
2016-06-12,O,463,9668,243.0,902,339,157,14106,2016,6,12,일
2016-06-13,X,463,1808,6.0,153,36,522,3884,2016,6,13,월
2016-06-14,X,463,1355,8.0,149,88,466,3647,2016,6,14,화
2016-06-15,X,463,256,3.0,9,42,76,846,2016,6,15,수
2016-06-16,X,463,2417,21.0,122,66,1571,4572,2016,6,16,목
2016-06-17,X,463,1900,35.0,231,87,843,4479,2016,6,17,금
2016-06-18,O,463,8888,169.0,1076,191,375,13938,2016,6,18,토
2016-06-19,O,463,8472,165.0,949,311,32,12939,2016,6,19,일
2016-06-20,X,463,2239,28.0,598,91,94,4391,2016,6,20,월
2016-06-21,X,463,1181,16.0,33,105,305,2767,2016,6,21,화
2016-06-22,X,463,508,43.0,28,51,104,1610,2016,6,22,수
2016-06-23,X,463,1572,22.0,198,48,472,3664,2016,6,23,목
2016-06-24,X,463,629,6.0,33,45,110,1505,2016,6,24,금
2016-06-25,O,구름 많음,9060,127.0,1026,141,123,13799,2016,6,25,토
2016-06-26,O,463,8405,116.0,943,242,65,13252,2016,6,26,일
2016-06-27,X,463,1603,42.0,68,72,90,3038,2016,6,27,월
2016-06-28,X,463,1283,51.0,86,146,168,2618,2016,6,28,화
2016-06-29,X,구름 많음,1224,21.0,73,48,45,2438,2016,6,29,수
2016-06-30,X,눈/비,1120,29.0,53,62,185,2357,2016,6,30,목
2016-07-01,X,눈/비,1182,16.0,802,57,1675,2712,2016,7,1,금
2016-07-02,O,463,5707,71.0,678,170,0,9126,2016,7,2,토
2016-07-03,O,흐림,7175,61.0,816,253,0,10843,2016,7,3,일
2016-07-04,X,눈/비,179,5.0,21,65,0,677,2016,7,4,월
2016-07-05,X,463,27,45.0,1,4,35,255,2016,7,5,화
2016-07-06,X,463,807,92.0,85,31,0,1843,2016,7,6,수
2016-07-07,X,눈/비,851,64.0,129,106,103,2035,2016,7,7,목
2016-07-08,X,구름 조금,1281,286.0,78,98,215,3098,2016,7,8,금
2016-07-09,O,구름 조금,3066,166.0,294,187,71,5459,2016,7,9,토
2016-07-10,O,구름 많음,2700,155.0,282,140,0,4688,2016,7,10,일
2016-07-11,X,구름 많음,643,25.0,53,56,46,1587,2016,7,11,월
2016-07-12,X,눈/비,493,10208.0,34,81,10162,11688,2016,7,12,화
2016-07-13,X,구름 많음,914,2134.0,68,53,2169,4057,2016,7,13,수
2016-07-14,X,구름 많음,787,243.0,68,76,245,2097,2016,7,14,목
2016-07-15,X,흐림,904,105.0,1179,70,30,3112,2016,7,15,금
2016-07-16,O,눈/비,356,11.0,44,20,0,1002,2016,7,16,토
2016-07-17,O,흐림,6192,178.0,750,242,0,9518,2016,7,17,일
2016-07-18,X,구름 많음,1502,49.0,121,125,67,2853,2016,7,18,월
2016-07-19,X,구름 조금,946,112.0,89,182,119,2267,2016,7,19,화
2016-07-20,X,구름 많음,674,57.0,90,108,0,1708,2016,7,20,수
2016-07-21,X,구름 많음,745,90.0,90,63,0,1839,2016,7,21,목
2016-07-22,X,구름 많음,547,78.0,52,78,0,1400,2016,7,22,금
2016-07-23,O,흐림,2367,130.0,247,211,30,4251,2016,7,23,토
2016-07-24,O,눈/비,2654,152.0,346,251,0,4628,2016,7,24,일
2016-07-25,X,구름 많음,1011,99.0,196,83,33,2032,2016,7,25,월
2016-07-26,X,구름 많음,821,82.0,120,17,0,1860,2016,7,26,화
2016-07-27,X,눈/비,623,58.0,135,51,0,1462,2016,7,27,수
2016-07-28,X,구름 많음,1192,105.0,226,135,0,2383,2016,7,28,목
2016-07-29,X,눈/비,1164,3048.0,551,74,3689,5240,2016,7,29,금
2016-07-30,O,눈/비,3708,206.0,531,259,64,6092,2016,7,30,토
2016-07-31,O,구름 많음,3295,164.0,377,378,115,5155,2016,7,31,일
2016-08-01,X,눈/비,2623,180.0,452,374,30,4450,2016,8,1,월
2016-08-02,X,흐림,2495,155.0,467,286,129,4359,2016,8,2,화
2016-08-03,X,구름 많음,1566,105.0,248,205,0,3018,2016,8,3,수
2016-08-04,X,구름 조금,934,77.0,137,98,0,1683,2016,8,4,목
2016-08-05,X,구름 조금,937,113.0,169,57,0,1766,2016,8,5,금
2016-08-06,O,구름 많음,1632,193.0,202,180,106,3029,2016,8,6,토
2016-08-07,O,구름 많음,1411,99.0,180,127,0,2586,2016,8,7,일
2016-08-08,X,구름 많음,489,74.0,94,62,0,1118,2016,8,8,월
2016-08-09,X,구름 많음,474,57.0,106,122,0,1188,2016,8,9,화
2016-08-10,X,구름 많음,475,56.0,97,68,0,1198,2016,8,10,수
2016-08-11,X,구름 조금,471,62.0,109,89,0,1106,2016,8,11,목
2016-08-12,X,구름 조금,544,69.0,102,48,0,1222,2016,8,12,금
2016-08-13,O,구름 많음,1760,107.0,309,128,76,3177,2016,8,13,토
2016-08-14,O,눈/비,4327,171.0,463,142,1062,6159,2016,8,14,일
2016-08-15,O,구름 많음,2675,243.0,382,170,0,4256,2016,8,15,월
2016-08-16,X,구름 많음,704,64.0,142,68,96,1428,2016,8,16,화
2016-08-17,X,구름 조금,548,242.0,132,59,243,1454,2016,8,17,수
2016-08-18,X,구름 많음,599,10023.0,152,91,10038,11359,2016,8,18,목
2016-08-19,X,구름 많음,1150,3061.0,491,56,3810,5345,2016,8,19,금
2016-08-20,O,구름 많음,3421,133.0,485,168,30,5468,2016,8,20,토
2016-08-21,O,구름 많음,2660,94.0,332,72,0,4429,2016,8,21,일
2016-08-22,X,구름 많음,516,15.0,61,65,0,1088,2016,8,22,월
2016-08-23,X,눈/비,450,13.0,71,36,0,1146,2016,8,23,화
2016-08-24,X,구름 많음,518,44.0,61,62,0,1336,2016,8,24,수
2016-08-25,X,구름 많음,536,11.0,44,40,42,1289,2016,8,25,목
2016-08-26,X,구름 많음,1442,10.0,80,109,0,2575,2016,8,26,금
2016-08-27,O,구름 조금,13366,242.0,1467,145,139,19035,2016,8,27,토
2016-08-28,O,구름 많음,12114,231.0,1413,166,0,18218,2016,8,28,일
2016-08-29,X,구름 많음,2321,44.0,107,92,0,3636,2016,8,29,월
2016-08-30,X,흐림,1988,39.0,75,55,0,3382,2016,8,30,화
2016-08-31,X,눈/비,44,75.0,20277,0,75,20690,2016,8,31,수
2016-09-01,X,눈/비,1224,69.0,61,35,258,2725,2016,9,1,목
2016-09-02,X,구름 많음,1501,211.0,97,50,226,2884,2016,9,2,금
2016-09-03,O,흐림,12693,233.0,1551,153,30,19980,2016,9,3,토
2016-09-04,O,구름 많음,13769,223.0,1562,155,0,19815,2016,9,4,일
2016-09-05,X,구름 많음,1480,142.0,71,140,161,2784,2016,9,5,월
2016-09-06,X,구름 많음,1191,131.0,25,62,258,2806,2016,9,6,화
2016-09-07,X,구름 많음,1176,25.0,225,42,489,2568,2016,9,7,수
2016-09-08,X,눈/비,669,7.0,110,37,185,1717,2016,9,8,목
2016-09-09,X,구름 많음,1171,6242.0,203,13,6489,8865,2016,9,9,금
2016-09-10,O,구름 많음,10518,463.0,1200,86,60,16066,2016,9,10,토
2016-09-11,O,구름 많음,12597,254.0,1511,156,95,19518,2016,9,11,일
2016-09-12,X,구름 많음,1672,90.0,342,34,92,2976,2016,9,12,월
2016-09-13,X,구름 많음,2084,729.0,247,109,670,4363,2016,9,13,화
2016-09-14,O,눈/비,8214,214.0,962,407,38,11712,2016,9,14,수
2016-09-15,O,구름 조금,12931,400.0,1307,806,0,17941,2016,9,15,목
2016-09-16,O,구름 많음,21780,583.0,2760,862,30,32719,2016,9,16,금
2016-09-17,O,구름 많음,13452,311.0,1704,242,0,19920,2016,9,17,토
2016-09-18,O,구름 많음,14286,298.0,1475,253,0,21560,2016,9,18,일
2016-09-19,X,구름 많음,1899,35.0,112,24,34,3360,2016,9,19,월
2016-09-20,X,맑음,1760,41.0,410,50,867,4447,2016,9,20,화
2016-09-21,X,구름 많음,1566,9.0,104,33,400,3825,2016,9,21,수
2016-09-22,X,구름 조금,1696,6.0,396,58,781,4565,2016,9,22,목
2016-09-23,X,맑음,2132,160.0,385,62,1386,5709,2016,9,23,금
2016-09-24,O,구름 조금,14652,216.0,2023,153,586,23547,2016,9,24,토
2016-09-25,O,구름 많음,14608,277.0,1762,69,237,21160,2016,9,25,일
2016-09-26,X,구름 많음,1807,25.0,216,35,316,3713,2016,9,26,월
2016-09-27,X,눈/비,179,0.0,431,12,449,1483,2016,9,27,화
2016-09-28,X,구름 많음,1068,40.0,235,40,1118,4026,2016,9,28,수
2016-09-29,X,구름 많음,1919,152.0,391,50,1844,5586,2016,9,29,목
2016-09-30,X,구름 많음,2878,534.0,836,82,3097,7872,2016,9,30,금
2016-10-01,O,구름 많음,17842,294.0,2446,112,64,27694,2016,10,1,토
2016-10-02,O,눈/비,866,36.0,155,18,0,1857,2016,10,2,일
2016-10-03,O,구름 조금,19036,340.0,3049,196,326,30759,2016,10,3,월
2016-10-04,X,맑음,3315,10053.0,1283,124,10747,17225,2016,10,4,화
2016-10-05,X,구름 조금,2565,167.0,478,49,1839,4904,2016,10,5,수
2016-10-06,X,구름 조금,2363,949.0,1967,47,4179,8778,2016,10,6,목
2016-10-07,X,구름 많음,2415,1543.0,747,82,3551,8665,2016,10,7,금
2016-10-08,O,흐림,10773,342.0,1311,162,1013,16488,2016,10,8,토
2016-10-09,O,맑음,15187,416.0,1850,174,131,23046,2016,10,9,일
2016-10-10,X,구름 조금,2377,121.0,444,120,481,4613,2016,10,10,월
2016-10-11,X,463,2100,1955.0,1577,99,4820,9394,2016,10,11,화
2016-10-12,X,구름 조금,2254,343.0,488,61,1635,5885,2016,10,12,수
2016-10-13,X,구름 조금,2691,1232.0,705,56,3421,8678,2016,10,13,목
2016-10-14,X,맑음,3276,3011.0,739,70,4956,11883,2016,10,14,금
2016-10-15,O,구름 조금,15081,448.0,1938,154,2135,23584,2016,10,15,토
2016-10-16,O,흐림,5275,186.0,746,119,246,8506,2016,10,16,일
2016-10-17,X,구름 많음,2484,67.0,499,116,580,5074,2016,10,17,월
2016-10-18,X,구름 조금,2653,1129.0,828,73,3100,8224,2016,10,18,화
2016-10-19,X,463,2429,2005.0,585,68,3956,8681,2016,10,19,수
2016-10-20,X,463,2668,1516.0,642,37,3128,8095,2016,10,20,목
2016-10-21,X,구름 많음,3167,3299.0,688,42,5695,11299,2016,10,21,금
2016-10-22,O,흐림,18212,762.0,2929,161,3984,28301,2016,10,22,토
2016-10-23,O,구름 많음,8950,539.0,1948,181,2988,14427,2016,10,23,일
2016-10-24,X,구름 조금,3075,3004.0,295,75,3234,8377,2016,10,24,월
2016-10-25,X,구름 많음,867,868.0,83,23,1119,2591,2016,10,25,화
2016-10-26,X,구름 많음,2155,790.0,283,71,2438,6884,2016,10,26,수
2016-10-27,X,구름 많음,3290,487.0,516,55,2209,7301,2016,10,27,목
2016-10-28,X,흐림,2921,1038.0,378,61,2652,6538,2016,10,28,금
2016-10-29,O,구름 많음,9754,378.0,1417,116,786,15346,2016,10,29,토
2016-10-30,O,맑음,11576,386.0,1544,83,130,17706,2016,10,30,일
2016-10-31,X,흐림,1066,8.0,61,12,397,2096,2016,10,31,월
2016-11-01,X,맑음,792,22.0,59,46,222,2305,2016,11,1,화
2016-11-02,X,구름 조금,1081,7.0,4869,32,5430,7520,2016,11,2,수
2016-11-03,X,구름 조금,1496,24.0,127,79,453,3254,2016,11,3,목
2016-11-04,X,구름 많음,1699,813.0,344,63,1447,4834,2016,11,4,금
2016-11-05,O,구름 많음,9125,281.0,1098,154,669,14380,2016,11,5,토
2016-11-06,O,구름 많음,12529,353.0,1608,117,118,19529,2016,11,6,일
2016-11-07,X,흐림,4341,11.0,107,42,3140,5735,2016,11,7,월
2016-11-08,X,맑음,787,260.0,23,33,325,2570,2016,11,8,화
2016-11-09,X,맑음,937,36.0,290,21,741,2630,2016,11,9,수
2016-11-10,X,흐림,567,35.0,18,28,134,1928,2016,11,10,목
2016-11-11,X,구름 조금,1414,690.0,80,118,876,3662,2016,11,11,금
2016-11-12,O,흐림,9149,228.0,1106,85,1271,13925,2016,11,12,토
2016-11-13,O,구름 많음,8971,361.0,1073,164,583,13407,2016,11,13,일
2016-11-14,X,눈/비,487,411.0,26,15,411,1819,2016,11,14,월
2016-11-15,X,맑음,836,17.0,66,24,243,2205,2016,11,15,화
2016-11-16,X,구름 조금,803,46.0,31,39,108,2019,2016,11,16,수
2016-11-17,X,463,1572,215.0,264,43,77,3480,2016,11,17,목
2016-11-18,X,463,989,82.0,265,12,315,2356,2016,11,18,금
2016-11-19,O,463,6203,139.0,726,116,179,9936,2016,11,19,토
2016-11-20,O,463,9684,10262.0,1155,86,10030,24388,2016,11,20,일
2016-11-21,X,구름 많음,1012,33.0,47,22,30,2231,2016,11,21,월
2016-11-22,X,구름 조금,387,19.0,14,4,30,1433,2016,11,22,화
2016-11-23,X,구름 조금,253,8.0,4,16,0,1021,2016,11,23,수
2016-11-24,X,맑음,161,14.0,1,11,0,881,2016,11,24,목
2016-11-25,X,구름 조금,362,606.0,17,20,606,1817,2016,11,25,금
2016-11-26,O,눈/비,896,46.0,110,29,191,2325,2016,11,26,토
2016-11-27,O,구름 조금,1917,88.0,291,53,78,3815,2016,11,27,일
2016-11-28,X,맑음,382,43.0,26,12,0,1180,2016,11,28,월
2016-11-29,X,맑음,348,25.0,10,30,0,1237,2016,11,29,화
2016-11-30,X,흐림,245,48.0,9,17,31,978,2016,11,30,수
2016-12-01,X,맑음,476,57.0,121,18,0,1483,2016,12,1,목
2016-12-02,X,맑음,368,22.0,15,41,0,1224,2016,12,2,금
2016-12-03,O,구름 조금,3330,88.0,332,58,33,5705,2016,12,3,토
2016-12-04,O,흐림,2376,94.0,278,39,0,4360,2016,12,4,일
2016-12-05,X,구름 많음,235,35.0,13,12,0,952,2016,12,5,월
2016-12-06,X,맑음,172,64.0,13,26,30,997,2016,12,6,화
2016-12-07,X,구름 조금,230,240.0,7,2,224,1314,2016,12,7,수
2016-12-08,X,흐림,219,39.0,11,18,0,1090,2016,12,8,목
2016-12-09,X,맑음,230,227.0,7,10,188,1245,2016,12,9,금
2016-12-10,O,맑음,1162,57.0,104,50,0,2386,2016,12,10,토
2016-12-11,O,맑음,1605,63.0,209,50,0,3222,2016,12,11,일
2016-12-12,X,구름 많음,331,28.0,25,40,0,1043,2016,12,12,월
2016-12-13,X,463,301,40.0,8,30,0,1312,2016,12,13,화
2016-12-14,X,463,208,15.0,28,13,137,930,2016,12,14,수
2016-12-15,X,463,101,18.0,4,13,0,698,2016,12,15,목
2016-12-16,X,구름 조금,129,14.0,12,9,0,565,2016,12,16,금
2016-12-17,O,구름 많음,1087,74.0,140,24,80,2403,2016,12,17,토
2017-03-28,X,구름 많음,0,0.0,0,0,0,2,2017,3,28,화
2017-03-29,X,구름 조금,0,0.0,0,0,0,7,2017,3,29,수
2017-03-30,X,구름 조금,1187,13.0,102,96,115,2369,2017,3,30,목
2017-03-31,X,눈/비,386,328.0,13,41,270,1299,2017,3,31,금
2017-04-01,O,눈/비,11155,204.0,1455,100,30,17070,2017,4,1,토
