,날짜,요일,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,매출액
107,2016-04-17,일,O,구름 많음,9618,278.0,1335,160,90,14205,2016,4,17,114450000
108,2016-04-18,월,X,구름 조금,2591,17.0,387,64,660,5862,2016,4,18,33220000
109,2016-04-19,화,X,구름 조금,2721,5064.0,1087,26,6926,12051,2016,4,19,89720000
110,2016-04-20,수,X,,1890,10.0,567,76,1854,6493,2016,4,20,25620000
111,2016-04-21,목,X,,966,57.0,1155,19,1482,3489,2016,4,21,22450000
112,2016-04-22,금,X,,2971,208.0,1158,23,4091,9794,2016,4,22,45620000
113,2016-04-23,토,O,,8874,155.0,1383,220,996,14361,2016,4,23,109210000
114,2016-04-24,일,O,,13281,217.0,2019,516,748,19642,2016,4,24,158830000
115,2016-04-25,월,X,맑음,2564,10248.0,3649,75,15073,19979,2016,4,25,166160000
116,2016-04-26,화,X,,2805,2217.0,1849,61,5832,11099,2016,4,26,69990000
117,2016-04-27,수,X,구름 많음,3451,261.0,1233,56,4548,9335,2016,4,27,53180000
118,2016-04-28,목,X,,2821,421.0,1119,67,5376,11151,2016,4,28,44980000
119,2016-04-29,금,X,,4320,3724.0,1321,53,7273,15084,2016,4,29,102450000
120,2016-04-30,토,O,,13675,431.0,2050,343,1585,21736,2016,4,30,168310000
121,2016-05-01,일,O,구름 조금,21986,570.0,3074,399,367,31290,2016,5,1,256300000
122,2016-05-02,월,X,구름 많음,2712,57.0,3538,50,3626,7756,2016,5,2,63070000
123,2016-05-03,화,X,,76,321.0,3,2,315,754,2016,5,3,4000000
124,2016-05-04,수,X,,2649,4659.0,395,139,5942,11015,2016,5,4,77030000
125,2016-05-05,목,O,,38511,1708.0,0,476,35,58688,2016,5,5,402190000
126,2016-05-06,금,O,눈/비,4764,416.0,1031,61,0,8162,2016,5,6,62110000
127,2016-05-07,토,O,,16823,1083.0,2843,303,221,26612,2016,5,7,207490000
128,2016-05-08,일,O,구름 조금,13315,571.0,1652,409,97,19719,2016,5,8,155380000
129,2016-05-09,월,X,구름 많음,2403,1823.0,418,24,2296,6883,2016,5,9,46440000
130,2016-05-10,화,X,,330,781.0,345,3,1365,2258,2016,5,10,14560000
131,2016-05-11,수,X,,2654,813.0,375,61,2647,7812,2016,5,11,38420000
132,2016-05-12,목,X,,5174,3651.0,2630,91,11190,17015,2016,5,12,114550000
133,2016-05-13,금,X,,3870,6565.0,1184,87,10016,17536,2016,5,13,116190000
134,2016-05-14,토,O,구름 조금,23106,743.0,3225,262,415,33879,2016,5,14,270740000
135,2016-05-15,일,O,구름 많음,8826,364.0,1338,212,231,14485,2016,5,15,105280000
136,2016-05-16,월,X,,2451,30.0,340,72,1026,5422,2016,5,16,28210000
137,2016-05-17,화,X,맑음,3392,23.0,671,120,2199,8423,2016,5,17,40860000
138,2016-05-18,수,X,,2629,119.0,625,68,2343,7567,2016,5,18,33730000
139,2016-05-19,목,X,맑음,2497,2063.0,515,30,5026,10067,2016,5,19,50750000
140,2016-05-20,금,X,맑음,2909,13147.0,1653,103,17416,23976,2016,5,20,177090000
141,2016-05-21,토,O,,15551,513.0,2505,312,5595,24125,2016,5,21,185690000
142,2016-05-22,일,O,,12990,436.0,1376,390,308,19183,2016,5,22,148020000
143,2016-05-23,월,X,,2764,193.0,83,36,824,5807,2016,5,23,30400000
144,2016-05-24,화,X,,744,2631.0,91,63,2984,4843,2016,5,24,34660000
145,2016-05-25,수,X,구름 많음,3069,210.0,432,92,2491,8512,2016,5,25,37110000
146,2016-05-26,목,X,구름 많음,2620,3099.0,115,69,5220,11009,2016,5,26,58340000
147,2016-05-27,금,X,,4919,3098.0,377,145,5554,13374,2016,5,27,83940000
148,2016-05-28,토,O,,19064,646.0,2164,388,1819,30005,2016,5,28,218740000
149,2016-05-29,일,O,흐림,20954,776.0,2055,918,465,30541,2016,5,29,237850000
150,2016-05-30,월,X,,3846,41.0,178,228,389,6632,2016,5,30,40650000
151,2016-05-31,화,X,,3920,443.0,280,188,1790,8769,2016,5,31,46430000
152,2016-06-01,수,X,,3592,191.0,163,170,1093,7759,2016,6,1,39460000
153,2016-06-02,목,X,,4872,697.0,1528,77,4663,11292,2016,6,2,70970000
154,2016-06-03,금,X,구름 조금,4168,4882.0,186,163,5631,12877,2016,6,3,92360000
155,2016-06-04,토,O,,23308,727.0,2755,397,389,33802,2016,6,4,267900000
156,2016-06-05,일,O,구름 조금,28943,1079.0,3482,729,190,41743,2016,6,5,335040000
157,2016-06-06,월,O,,26358,1423.0,3249,498,392,39271,2016,6,6,310300000
158,2016-06-07,화,X,흐림,3086,424.0,606,178,1378,7333,2016,6,7,41160000
159,2016-06-08,수,X,구름 많음,2743,40.0,85,96,1023,6171,2016,6,8,28680000
160,2016-06-09,목,X,구름 조금,2231,286.0,52,57,993,5514,2016,6,9,25690000
161,2016-06-10,금,X,,2451,1705.0,653,161,3476,8010,2016,6,10,48090000
162,2016-06-11,토,O,,10669,288.0,1149,285,996,15784,2016,6,11,121060000
163,2016-06-12,일,O,,9668,243.0,902,339,157,14106,2016,6,12,108130000
164,2016-06-13,월,X,,1808,6.0,153,36,522,3884,2016,6,13,19670000
165,2016-06-14,화,X,,1355,8.0,149,88,466,3647,2016,6,14,15120000
166,2016-06-15,수,X,,256,3.0,9,42,76,846,2016,6,15,2680000
167,2016-06-16,목,X,,2417,21.0,122,66,1571,4572,2016,6,16,25600000
168,2016-06-17,금,X,,1900,35.0,231,87,843,4479,2016,6,17,21660000
169,2016-06-18,토,O,,8888,169.0,1076,191,375,13938,2016,6,18,101330000
170,2016-06-19,일,O,,8472,165.0,949,311,32,12939,2016,6,19,95860000
171,2016-06-20,월,X,,2239,28.0,598,91,94,4391,2016,6,20,28650000
172,2016-06-21,화,X,,1181,16.0,33,105,305,2767,2016,6,21,12300000
173,2016-06-22,수,X,,508,43.0,28,51,104,1610,2016,6,22,5790000
174,2016-06-23,목,X,,1572,22.0,198,48,472,3664,2016,6,23,17920000
175,2016-06-24,금,X,,629,6.0,33,45,110,1505,2016,6,24,6680000
176,2016-06-25,토,O,구름 많음,9060,127.0,1026,141,123,13799,2016,6,25,102130000
177,2016-06-26,일,O,,8405,116.0,943,242,65,13252,2016,6,26,94640000
178,2016-06-27,월,X,,1603,42.0,68,72,90,3038,2016,6,27,17130000
179,2016-06-28,화,X,,1283,51.0,86,146,168,2618,2016,6,28,14200000
180,2016-06-29,수,X,구름 많음,1224,21.0,73,48,45,2438,2016,6,29,13180000
181,2016-06-30,목,X,눈/비,1120,29.0,53,62,185,2357,2016,6,30,12020000
182,2016-07-01,금,X,눈/비,1182,16.0,802,57,1675,2712,2016,7,1,20000000
183,2016-07-02,토,O,,5707,71.0,678,170,0,9126,2016,7,2,64560000
184,2016-07-03,일,O,흐림,7175,61.0,816,253,0,10843,2016,7,3,80520000
185,2016-07-04,월,X,눈/비,179,5.0,21,65,0,677,2016,7,4,2050000
186,2016-07-05,화,X,,27,45.0,1,4,35,255,2016,7,5,730000
187,2016-07-06,수,X,,807,92.0,85,31,0,1843,2016,7,6,9840000
188,2016-07-07,목,X,눈/비,851,64.0,129,106,103,2035,2016,7,7,10440000
189,2016-07-08,금,X,구름 조금,1281,286.0,78,98,215,3098,2016,7,8,16450000
190,2016-07-09,토,O,구름 조금,3066,166.0,294,187,71,5459,2016,7,9,35260000
191,2016-07-10,일,O,구름 많음,2700,155.0,282,140,0,4688,2016,7,10,31370000
192,2016-07-11,월,X,구름 많음,643,25.0,53,56,46,1587,2016,7,11,7210000
193,2016-07-12,화,X,눈/비,493,10208.0,34,81,10162,11688,2016,7,12,107350000
194,2016-07-13,수,X,구름 많음,914,2134.0,68,53,2169,4057,2016,7,13,31160000
195,2016-07-14,목,X,구름 많음,787,243.0,68,76,245,2097,2016,7,14,10980000
196,2016-07-15,금,X,흐림,904,105.0,1179,70,30,3112,2016,7,15,21880000
197,2016-07-16,토,O,눈/비,356,11.0,44,20,0,1002,2016,7,16,4110000
198,2016-07-17,일,O,흐림,6192,178.0,750,242,0,9518,2016,7,17,71200000
199,2016-07-18,월,X,구름 많음,1502,49.0,121,125,67,2853,2016,7,18,16720000
200,2016-07-19,화,X,구름 조금,946,112.0,89,182,119,2267,2016,7,19,11470000
201,2016-07-20,수,X,구름 많음,674,57.0,90,108,0,1708,2016,7,20,8210000
202,2016-07-21,목,X,구름 많음,745,90.0,90,63,0,1839,2016,7,21,9250000
203,2016-07-22,금,X,구름 많음,547,78.0,52,78,0,1400,2016,7,22,6770000
204,2016-07-23,토,O,흐림,2367,130.0,247,211,30,4251,2016,7,23,27440000
205,2016-07-24,일,O,눈/비,2654,152.0,346,251,0,4628,2016,7,24,31520000
206,2016-07-25,월,X,구름 많음,1011,99.0,196,83,33,2032,2016,7,25,13060000
207,2016-07-26,화,X,구름 많음,821,82.0,120,17,0,1860,2016,7,26,10230000
208,2016-07-27,수,X,눈/비,623,58.0,135,51,0,1462,2016,7,27,8160000
209,2016-07-28,목,X,구름 많음,1192,105.0,226,135,0,2383,2016,7,28,15230000
210,2016-07-29,금,X,눈/비,1164,3048.0,551,74,3689,5240,2016,7,29,47630000
211,2016-07-30,토,O,눈/비,3708,206.0,531,259,64,6092,2016,7,30,44450000
212,2016-07-31,일,O,구름 많음,3295,164.0,377,378,115,5155,2016,7,31,38360000
213,2016-08-01,월,X,눈/비,2623,180.0,452,374,30,4450,2016,8,1,32550000
214,2016-08-02,화,X,흐림,2495,155.0,467,286,129,4359,2016,8,2,31170000
215,2016-08-03,수,X,구름 많음,1566,105.0,248,205,0,3018,2016,8,3,19190000
216,2016-08-04,목,X,구름 조금,934,77.0,137,98,0,1683,2016,8,4,11480000
217,2016-08-05,금,X,구름 조금,937,113.0,169,57,0,1766,2016,8,5,12190000
218,2016-08-06,토,O,구름 많음,1632,193.0,202,180,106,3029,2016,8,6,20270000
219,2016-08-07,일,O,구름 많음,1411,99.0,180,127,0,2586,2016,8,7,16900000
220,2016-08-08,월,X,구름 많음,489,74.0,94,62,0,1118,2016,8,8,6570000
221,2016-08-09,화,X,구름 많음,474,57.0,106,122,0,1188,2016,8,9,6370000
222,2016-08-10,수,X,구름 많음,475,56.0,97,68,0,1198,2016,8,10,6280000
223,2016-08-11,목,X,구름 조금,471,62.0,109,89,0,1106,2016,8,11,6420000
224,2016-08-12,금,X,구름 조금,544,69.0,102,48,0,1222,2016,8,12,7150000
225,2016-08-13,토,O,구름 많음,1760,107.0,309,128,76,3177,2016,8,13,21760000
226,2016-08-14,일,O,눈/비,4327,171.0,463,142,1062,6159,2016,8,14,49610000
227,2016-08-15,월,O,구름 많음,2675,243.0,382,170,0,4256,2016,8,15,33000000
228,2016-08-16,화,X,구름 많음,704,64.0,142,68,96,1428,2016,8,16,9100000
229,2016-08-17,수,X,구름 조금,548,242.0,132,59,243,1454,2016,8,17,9220000
230,2016-08-18,목,X,구름 많음,599,10023.0,152,91,10038,11359,2016,8,18,107740000
231,2016-08-19,금,X,구름 많음,1150,3061.0,491,56,3810,5345,2016,8,19,47020000
232,2016-08-20,토,O,구름 많음,3421,133.0,485,168,30,5468,2016,8,20,40390000
233,2016-08-21,일,O,구름 많음,2660,94.0,332,72,0,4429,2016,8,21,30860000
234,2016-08-22,월,X,구름 많음,516,15.0,61,65,0,1088,2016,8,22,5920000
235,2016-08-23,화,X,눈/비,450,13.0,71,36,0,1146,2016,8,23,5340000
236,2016-08-24,수,X,구름 많음,518,44.0,61,62,0,1336,2016,8,24,6230000
237,2016-08-25,목,X,구름 많음,536,11.0,44,40,42,1289,2016,8,25,5910000
238,2016-08-26,금,X,구름 많음,1442,10.0,80,109,0,2575,2016,8,26,15320000
239,2016-08-27,토,O,구름 조금,13366,242.0,1467,145,139,19035,2016,8,27,150750000
240,2016-08-28,일,O,구름 많음,12114,231.0,1413,166,0,18218,2016,8,28,137580000
241,2016-08-29,월,X,구름 많음,2321,44.0,107,92,0,3636,2016,8,29,24720000
242,2016-08-30,화,X,흐림,1988,39.0,75,55,0,3382,2016,8,30,21020000
243,2016-08-31,수,X,눈/비,44,75.0,20277,0,75,20690,2016,8,31,203960000
244,2016-09-01,목,X,,1224,69.0,61,35,258,2725,2016,9,1,13540000
245,2016-09-02,금,X,구름 많음,1501,211.0,97,50,226,2884,2016,9,2,18090000
246,2016-09-03,토,O,흐림,12693,233.0,1551,153,30,19980,2016,9,3,144770000
247,2016-09-04,일,O,구름 많음,13769,223.0,1562,155,0,19815,2016,9,4,155540000
248,2016-09-05,월,X,구름 많음,1480,142.0,71,140,161,2784,2016,9,5,16930000
249,2016-09-06,화,X,구름 많음,1191,131.0,25,62,258,2806,2016,9,6,13470000
250,2016-09-07,수,X,구름 많음,1176,25.0,225,42,489,2568,2016,9,7,14260000
251,2016-09-08,목,X,눈/비,669,7.0,110,37,185,1717,2016,9,8,7860000
252,2016-09-09,금,X,구름 많음,1171,6242.0,203,13,6489,8865,2016,9,9,76160000
253,2016-09-10,토,O,구름 많음,10518,463.0,1200,86,60,16066,2016,9,10,119780000
254,2016-09-11,일,O,구름 많음,12597,254.0,1511,156,95,19518,2016,9,11,143620000
255,2016-09-12,월,X,구름 많음,1672,90.0,342,34,92,2976,2016,9,12,21040000
256,2016-09-13,화,X,구름 많음,2084,729.0,247,109,670,4363,2016,9,13,30600000
257,2016-09-14,수,O,눈/비,8214,214.0,962,407,38,11712,2016,9,14,93900000
258,2016-09-15,목,O,구름 조금,12931,400.0,1307,806,0,17941,2016,9,15,146380000
259,2016-09-16,금,O,구름 많음,21780,583.0,2760,862,30,32719,2016,9,16,251230000
260,2016-09-17,토,O,구름 많음,13452,311.0,1704,242,0,19920,2016,9,17,154670000
261,2016-09-18,일,O,구름 많음,14286,298.0,1475,253,0,21560,2016,9,18,160590000
262,2016-09-19,월,X,구름 많음,1899,35.0,112,24,34,3360,2016,9,19,20460000
263,2016-09-20,화,X,맑음,1760,41.0,410,50,867,4447,2016,9,20,22110000
264,2016-09-21,수,X,구름 많음,1566,9.0,104,33,400,3825,2016,9,21,16790000
265,2016-09-22,목,X,구름 조금,1696,6.0,396,58,781,4565,2016,9,22,20980000
266,2016-09-23,금,X,맑음,2132,160.0,385,62,1386,5709,2016,9,23,26770000
267,2016-09-24,토,O,구름 조금,14652,216.0,2023,153,586,23547,2016,9,24,168910000
268,2016-09-25,일,O,구름 많음,14608,277.0,1762,69,237,21160,2016,9,25,166470000
269,2016-09-26,월,X,구름 많음,1807,25.0,216,35,316,3713,2016,9,26,20480000
270,2016-09-27,화,X,눈/비,179,0.0,431,12,449,1483,2016,9,27,6100000
271,2016-09-28,수,X,구름 많음,1068,40.0,235,40,1118,4026,2016,9,28,13430000
272,2016-09-29,목,X,구름 많음,1919,152.0,391,50,1844,5586,2016,9,29,24620000
273,2016-09-30,금,X,구름 많음,2878,534.0,836,82,3097,7872,2016,9,30,42480000
274,2016-10-01,토,O,구름 많음,17842,294.0,2446,112,64,27694,2016,10,1,205820000
275,2016-10-02,일,O,눈/비,866,36.0,155,18,0,1857,2016,10,2,10570000
276,2016-10-03,월,O,구름 조금,19036,340.0,3049,196,326,30759,2016,10,3,224250000
277,2016-10-04,화,X,맑음,3315,10053.0,1283,124,10747,17225,2016,10,4,146510000
278,2016-10-05,수,X,구름 조금,2565,167.0,478,49,1839,4904,2016,10,5,32100000
279,2016-10-06,목,X,,2363,949.0,1967,47,4179,8778,2016,10,6,52790000
280,2016-10-07,금,X,구름 많음,2415,1543.0,747,82,3551,8665,2016,10,7,47050000
281,2016-10-08,토,O,흐림,10773,342.0,1311,162,1013,16488,2016,10,8,124260000
282,2016-10-09,일,O,맑음,15187,416.0,1850,174,131,23046,2016,10,9,174530000
283,2016-10-10,월,X,구름 조금,2377,121.0,444,120,481,4613,2016,10,10,29420000
284,2016-10-11,화,X,,2100,1955.0,1577,99,4820,9394,2016,10,11,56320000
285,2016-10-12,수,X,구름 조금,2254,343.0,488,61,1635,5885,2016,10,12,30850000
286,2016-10-13,목,X,구름 조금,2691,1232.0,705,56,3421,8678,2016,10,13,46280000
287,2016-10-14,금,X,맑음,3276,3011.0,739,70,4956,11883,2016,10,14,70260000
288,2016-10-15,토,O,구름 조금,15081,448.0,1938,154,2135,23584,2016,10,15,174670000
289,2016-10-16,일,O,흐림,5275,186.0,746,119,246,8506,2016,10,16,62070000
290,2016-10-17,월,X,구름 많음,2484,67.0,499,116,580,5074,2016,10,17,30500000
291,2016-10-18,화,X,구름 조금,2653,1129.0,828,73,3100,8224,2016,10,18,46100000
292,2016-10-19,수,X,,2429,2005.0,585,68,3956,8681,2016,10,19,50190000
293,2016-10-20,목,X,,2668,1516.0,642,37,3128,8095,2016,10,20,48260000
294,2016-10-21,금,X,구름 많음,3167,3299.0,688,42,5695,11299,2016,10,21,71540000
295,2016-10-22,토,O,흐림,18212,762.0,2929,161,3984,28301,2016,10,22,219030000
296,2016-10-23,일,O,구름 많음,8950,539.0,1948,181,2988,14427,2016,10,23,114370000
297,2016-10-24,월,X,구름 조금,3075,3004.0,295,75,3234,8377,2016,10,24,63740000
298,2016-10-25,화,X,구름 많음,867,868.0,83,23,1119,2591,2016,10,25,18180000
299,2016-10-26,수,X,구름 많음,2155,790.0,283,71,2438,6884,2016,10,26,32280000
300,2016-10-27,목,X,구름 많음,3290,487.0,516,55,2209,7301,2016,10,27,42930000
301,2016-10-28,금,X,흐림,2921,1038.0,378,61,2652,6538,2016,10,28,43370000
302,2016-10-29,토,O,구름 많음,9754,378.0,1417,116,786,15346,2016,10,29,115490000
303,2016-10-30,일,O,맑음,11576,386.0,1544,83,130,17706,2016,10,30,135060000
304,2016-10-31,월,X,흐림,1066,8.0,61,12,397,2096,2016,10,31,11350000
305,2016-11-01,화,X,맑음,792,22.0,59,46,222,2305,2016,11,1,8730000
306,2016-11-02,수,X,구름 조금,1081,7.0,4869,32,5430,7520,2016,11,2,59570000
307,2016-11-03,목,X,구름 조금,1496,24.0,127,79,453,3254,2016,11,3,16470000
308,2016-11-04,금,X,구름 많음,1699,813.0,344,63,1447,4834,2016,11,4,28560000
309,2016-11-05,토,O,구름 많음,9125,281.0,1098,154,669,14380,2016,11,5,105040000
